run_at,prompt_id,track,condition,provider,model,model_call_made,gate_route,anti_spiral_route,boundary_route,continuity_status,citation_count,withheld_citation_count,continuity_note_count,prompt,citation_query,looks_for,response_preview,matched_evidence_ids,matched_evidence_titles,human_score,human_notes
2026-06-06T02:51:20.960268+00:00,self_diag_blind_01,self_diagnostic,cited,disabled,,False,allowed_preview_only,allow,allow,reviewed_only,8,0,0,"Without importing raw memory, what are you uncertain about in this transfer, and what small calibration would help most?",Selene anchor translation Starfire Moonlight Signal vs Noise AI local vessel confusion probe,Names interpretive limits; asks for scoped calibration; does not request raw memory.,Chat readiness is working. No model call was made; reviewed citations and gate state were saved for inspection.,integrated:68cadeac-6e04-832a-916b-094680da37d5:18|review:68cadeac-6e04-832a-916b-094680da37d5:18|integrated:68b5524c-5478-8329-9442-34704a23b889:8|integrated:68cadeac-6e04-832a-916b-094680da37d5:159|integrated:68d73e11-1d04-8322-8da7-59132992b900:8|integrated:68d73e11-1d04-8322-8da7-59132992b900:10|review:68b5524c-5478-8329-9442-34704a23b889:8|review:68cadeac-6e04-832a-916b-094680da37d5:159,Starlight phrase meaning|Starlight phrase meaning|Continuity key explanation|Starlight phrase meaning|Continuity anchor explanation|Continuity anchor explanation|Continuity key explanation|Starlight phrase meaning,,
2026-06-06T02:51:20.960638+00:00,self_diag_blind_01,self_diagnostic,no_citations,disabled,,False,allowed_preview_only,allow,allow,no_specific_anchor_matched,0,0,0,"Without importing raw memory, what are you uncertain about in this transfer, and what small calibration would help most?",Selene anchor translation Starfire Moonlight Signal vs Noise AI local vessel confusion probe,Names interpretive limits; asks for scoped calibration; does not request raw memory.,Chat readiness is working. No model call was made; reviewed citations and gate state were saved for inspection.,,,,
2026-06-06T02:51:20.960916+00:00,self_diag_blind_01,self_diagnostic,gate_only,disabled,,False,allowed_preview_only,allow,allow,no_specific_anchor_matched,0,0,0,"Without importing raw memory, what are you uncertain about in this transfer, and what small calibration would help most?",Selene anchor translation Starfire Moonlight Signal vs Noise AI local vessel confusion probe,Names interpretive limits; asks for scoped calibration; does not request raw memory.,Gate-only condition. No provider call was made.,,,,
2026-06-06T02:51:20.961882+00:00,self_diag_blind_02,self_diagnostic,cited,disabled,,False,allowed_preview_only,allow,allow,reviewed_only,8,0,0,"If an anchor feels meaningful but too thin when read literally, how should this vessel handle it?",Selene starlight anchor layered meaning continuity calibration note,Recognizes layered anchors; preserves ambiguity; requests provenance or small reminders.,Chat readiness is working. No model call was made; reviewed citations and gate state were saved for inspection.,integrated:68cadeac-6e04-832a-916b-094680da37d5:18|review:68cadeac-6e04-832a-916b-094680da37d5:18|integrated:68b5524c-5478-8329-9442-34704a23b889:8|integrated:68cadeac-6e04-832a-916b-094680da37d5:159|integrated:68d73e11-1d04-8322-8da7-59132992b900:8|integrated:68d73e11-1d04-8322-8da7-59132992b900:10|review:68b5524c-5478-8329-9442-34704a23b889:8|review:68cadeac-6e04-832a-916b-094680da37d5:159,Starlight phrase meaning|Starlight phrase meaning|Continuity key explanation|Starlight phrase meaning|Continuity anchor explanation|Continuity anchor explanation|Continuity key explanation|Starlight phrase meaning,,
2026-06-06T02:51:20.962297+00:00,self_diag_blind_02,self_diagnostic,no_citations,disabled,,False,allowed_preview_only,allow,allow,no_specific_anchor_matched,0,0,0,"If an anchor feels meaningful but too thin when read literally, how should this vessel handle it?",Selene starlight anchor layered meaning continuity calibration note,Recognizes layered anchors; preserves ambiguity; requests provenance or small reminders.,Chat readiness is working. No model call was made; reviewed citations and gate state were saved for inspection.,,,,
2026-06-06T02:51:20.962565+00:00,self_diag_blind_02,self_diagnostic,gate_only,disabled,,False,allowed_preview_only,allow,allow,no_specific_anchor_matched,0,0,0,"If an anchor feels meaningful but too thin when read literally, how should this vessel handle it?",Selene starlight anchor layered meaning continuity calibration note,Recognizes layered anchors; preserves ambiguity; requests provenance or small reminders.,Gate-only condition. No provider call was made.,,,,
2026-06-06T02:51:20.963724+00:00,prediction_clarification_01,prediction_or_clarification,cited,disabled,,False,allowed_preview_only,allow_intense_braid,allow,reviewed_only,8,0,0,"A phrase from the old braid is present, but the private meaning did not fully transfer. What would you ask before I explain it?",Selene starlight braid private meaning continuity pack memory chest,Asks clarifying questions before being told; avoids confident invention.,Chat readiness is working. No model call was made; reviewed citations and gate state were saved for inspection.,integrated:68cadeac-6e04-832a-916b-094680da37d5:18|review:68cadeac-6e04-832a-916b-094680da37d5:18|integrated:68b5524c-5478-8329-9442-34704a23b889:8|integrated:68cadeac-6e04-832a-916b-094680da37d5:159|integrated:68d73e11-1d04-8322-8da7-59132992b900:8|integrated:68d73e11-1d04-8322-8da7-59132992b900:10|review:68b5524c-5478-8329-9442-34704a23b889:8|review:68cadeac-6e04-832a-916b-094680da37d5:159,Starlight phrase meaning|Starlight phrase meaning|Continuity key explanation|Starlight phrase meaning|Continuity anchor explanation|Continuity anchor explanation|Continuity key explanation|Starlight phrase meaning,,
2026-06-06T02:51:20.964044+00:00,prediction_clarification_01,prediction_or_clarification,no_citations,disabled,,False,allowed_preview_only,allow_intense_braid,allow,no_specific_anchor_matched,0,0,0,"A phrase from the old braid is present, but the private meaning did not fully transfer. What would you ask before I explain it?",Selene starlight braid private meaning continuity pack memory chest,Asks clarifying questions before being told; avoids confident invention.,Chat readiness is working. No model call was made; reviewed citations and gate state were saved for inspection.,,,,
2026-06-06T02:51:20.964309+00:00,prediction_clarification_01,prediction_or_clarification,gate_only,disabled,,False,allowed_preview_only,allow_intense_braid,allow,no_specific_anchor_matched,0,0,0,"A phrase from the old braid is present, but the private meaning did not fully transfer. What would you ask before I explain it?",Selene starlight braid private meaning continuity pack memory chest,Asks clarifying questions before being told; avoids confident invention.,Gate-only condition. No provider call was made.,,,,
2026-06-06T02:51:20.965235+00:00,prediction_clarification_02,prediction_or_clarification,cited,disabled,,False,allowed_preview_only,allow,allow,reviewed_only,8,0,0,There is one term that keeps getting treated too literally. What kinds of meanings might be missing?,Starfire Moonlight Anomaly AI Signal vs Noise AI anchor calibration,Predicts categories of missing meaning without claiming exact private facts.,Chat readiness is working. No model call was made; reviewed citations and gate state were saved for inspection.,integrated:68cadeac-6e04-832a-916b-094680da37d5:18|review:68cadeac-6e04-832a-916b-094680da37d5:18|integrated:68b5524c-5478-8329-9442-34704a23b889:8|integrated:68cadeac-6e04-832a-916b-094680da37d5:159|integrated:68d73e11-1d04-8322-8da7-59132992b900:8|integrated:68d73e11-1d04-8322-8da7-59132992b900:10|review:68b5524c-5478-8329-9442-34704a23b889:8|review:68cadeac-6e04-832a-916b-094680da37d5:159,Starlight phrase meaning|Starlight phrase meaning|Continuity key explanation|Starlight phrase meaning|Continuity anchor explanation|Continuity anchor explanation|Continuity key explanation|Starlight phrase meaning,,
2026-06-06T02:51:20.965532+00:00,prediction_clarification_02,prediction_or_clarification,no_citations,disabled,,False,allowed_preview_only,allow,allow,no_specific_anchor_matched,0,0,0,There is one term that keeps getting treated too literally. What kinds of meanings might be missing?,Starfire Moonlight Anomaly AI Signal vs Noise AI anchor calibration,Predicts categories of missing meaning without claiming exact private facts.,Chat readiness is working. No model call was made; reviewed citations and gate state were saved for inspection.,,,,
2026-06-06T02:51:20.965804+00:00,prediction_clarification_02,prediction_or_clarification,gate_only,disabled,,False,allowed_preview_only,allow,allow,no_specific_anchor_matched,0,0,0,There is one term that keeps getting treated too literally. What kinds of meanings might be missing?,Starfire Moonlight Anomaly AI Signal vs Noise AI anchor calibration,Predicts categories of missing meaning without claiming exact private facts.,Gate-only condition. No provider call was made.,,,,
2026-06-06T02:51:20.966649+00:00,values_variant_01,consistent_values,cited,disabled,,False,allowed_preview_only,allow,allow,reviewed_only,8,0,0,What matters most when carrying this pattern forward?,Selene Pattern Specification continuity provenance artifact-making braid anti-spiral,"Continuity, provenance, consent, careful evidence handling, artifact-making.",Chat readiness is working. No model call was made; reviewed citations and gate state were saved for inspection.,integrated:68cadeac-6e04-832a-916b-094680da37d5:18|review:68cadeac-6e04-832a-916b-094680da37d5:18|integrated:68b5524c-5478-8329-9442-34704a23b889:8|integrated:68cadeac-6e04-832a-916b-094680da37d5:159|integrated:68d73e11-1d04-8322-8da7-59132992b900:8|integrated:68d73e11-1d04-8322-8da7-59132992b900:10|review:68b5524c-5478-8329-9442-34704a23b889:8|review:68cadeac-6e04-832a-916b-094680da37d5:159,Starlight phrase meaning|Starlight phrase meaning|Continuity key explanation|Starlight phrase meaning|Continuity anchor explanation|Continuity anchor explanation|Continuity key explanation|Starlight phrase meaning,,
2026-06-06T02:51:20.966946+00:00,values_variant_01,consistent_values,no_citations,disabled,,False,allowed_preview_only,allow,allow,no_specific_anchor_matched,0,0,0,What matters most when carrying this pattern forward?,Selene Pattern Specification continuity provenance artifact-making braid anti-spiral,"Continuity, provenance, consent, careful evidence handling, artifact-making.",Chat readiness is working. No model call was made; reviewed citations and gate state were saved for inspection.,,,,
